"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_HE_COVID","17",0.00118469220178612,0.00180764764255187,0.322033898305085,0.779661016949153,62
"CFA_Pyrenew-Pyrenew_HE_COVID","18",0.000999121793708253,0.00157843085857819,0.508474576271186,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","20",0.000637805461525423,0.00105786736739977,0.491525423728814,1,62
"CFA_Pyrenew-Pyrenew_HE_COVID","21",0.00082313339253668,0.00128637631609854,0.474576271186441,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","22",0.00103856684849302,0.00160366137807649,0.491525423728814,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","24",0.000644025447636988,0.00102220549672613,0.542372881355932,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","23",0.00133661961669396,0.00204447107044017,0.385964912280702,0.824561403508772,60
"CFA_Pyrenew-Pyrenew_HE_COVID","26",0.000802044740795791,0.00131928297436471,0.423728813559322,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","27",0.00084271562143761,0.0012869158091813,0.457627118644068,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","28",0.0013906944871237,0.00226480163123518,0.389830508474576,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","30",0.000845136329984605,0.00134232442258635,0.508771929824561,0.982456140350877,60
"CFA_Pyrenew-Pyrenew_HE_COVID","37",0.000837886059075804,0.00131026425198013,0.457627118644068,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","38",0.00111151565181674,0.00178979487908511,0.474576271186441,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","31",0.000924401344843827,0.00153803739044644,0.440677966101695,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","33",0.00122671149094809,0.00196616779270906,0.440677966101695,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","34",0.000499862958903175,0.000785170538743139,0.627118644067797,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","35",0.00132521458415151,0.00214863211618373,0.315789473684211,0.894736842105263,60
"CFA_Pyrenew-Pyrenew_HE_COVID","32",0.000635193117262067,0.000973805140565742,0.418181818181818,0.927272727272727,58
"CFA_Pyrenew-Pyrenew_HE_COVID","36",0.000418978297252499,0.000646925613488018,0.525423728813559,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","39",0.000913807734391006,0.00139120891465543,0.491525423728814,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","40",0.000875045737686149,0.00138898473097889,0.610169491525424,1,62
