reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.4,341.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.45,341.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.5,341.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.55,356.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.6,356.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.65,356.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.7,400.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.75,416.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.8,416.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.85,416.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.9,416.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.95,416.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.975,444.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,17,quantile,0.99,577.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.01,47.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.025,69.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.05,80.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.1,100.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.15,108.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.2,110.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.25,115.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.3,119.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.35,119.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.4,119.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.45,125.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.5,133.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.55,137.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.6,137.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.65,137.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.7,149.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,18,quantile,0.75,155.0
